ending	S2_%PULT_Tk	S3_%PULT_Tk	S3_%APULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S5_%PULT_Tk	S5_%APULT_Tk	S6_%PULT_Tk	S6_%APULT_Tk	S7_%PULT_Tk	S7_%APULT_Tk	S8_%PULT_Tk	S2_nPULT_Tk	S3_nPULT_Tk	S3_nAPULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk	S5_nPULT_Tk	S5_nAPULT_Tk	S6_nPULT_Tk	S6_nAPULT_Tk	S7_nPULT_Tk	S7_nAPULT_Tk	S8_nPULT_Tk
ddo	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dra	100	0	100	NA	NA	NA	100	0	NA	NA	NA	NA	NA	55	0	7	NA	NA	NA	1	0	NA	NA	NA	NA	NA
dre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dri	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dro	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88	17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffa	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffe	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffi	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ffo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	12	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fra	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fre	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fri	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
fro	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gga	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gge	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ggi	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	388	99	0	69	0	0	NA	NA	NA	NA	NA	NA	NA
ggo	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ghe	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	142	6	0	12	0	0	NA	NA	NA	NA	NA	NA	NA
ghi	100	79.3103448275862	20.6896551724138	0	100	0	0	100	NA	NA	NA	NA	NA	184	23	6	0	1	0	0	1	NA	NA	NA	NA	NA
gla	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gle	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gli	100	84.1772151898734	15.8227848101266	53.8461538461538	44.2307692307692	1.92307692307692	0	100	0	100	NA	NA	NA	380	133	25	28	23	1	0	9	0	1	NA	NA	NA
gma	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gmi	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gna	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	79	429	0	31	0	0	NA	NA	NA	NA	NA	NA	NA
gne	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	92	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gni	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	678	172	0	2	0	0	NA	NA	NA	NA	NA	NA	NA
gno	100	100	0	100	0	0	NA	NA	NA	NA	NA	NA	NA	415	313	0	9	0	0	NA	NA	NA	NA	NA	NA	NA
gra	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gre	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gri	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gro	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	26	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lba	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lca	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lce	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lci	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lco	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lda	100	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
lde	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
