CV-structure	S4_%ULT_Tk	S4_%PULT_Tk	S4_%APULT_Tk	S4_%PAPULT_Tk	S4_nULT_Tk	S4_nPULT_Tk	S4_nAPULT_Tk	S4_nPAPULT_Tk
CCVCCVCVV	0	56.21621622	43.78378378	0	0	104	81	0
CCVCCVCVVCCCV	0	100	0	0	0	6	0	0
CCVCCVCVVCCV	0	100	0	0	0	28	0	0
CCVCCVCVVCV	0	100	0	0	0	446	0	0
CCVCCVCVVV	0	100	0	0	0	12	0	0
CCVCCVVCCV	0	100	0	0	0	14	0	0
CCVCCVVCCVCCV	0	85.71428571	14.28571429	0	0	12	2	0
CCVCCVVCCVCV	0	19.6969697	80.3030303	0	0	13	53	0
CCVCCVVCCVV	0	100	0	0	0	27	0	0
CCVCCVVCCVVCV	0	0	100	0	0	0	1	0
CCVCCVVCV	0	93.33333333	6.666666667	0	0	28	2	0
CCVCCVVCVCCV	0	98.9010989	1.098901099	0	0	90	1	0
CCVCCVVCVCV	0	82.52148997	17.47851003	0	0	288	61	0
CCVCCVVCVCVV	0	100	0	0	0	201	0	0
CCVCCVVCVV	0	100	0	0	0	33	0	0
CCVCCVVCVVV	0	100	0	0	0	31	0	0
CCVCCVVVCV	0	0	100	0	0	0	25	0
CCVCCAVCVCV	0	0	100	0	0	0	1	0
CCVCVCCCVCCV	0	100	0	0	0	10	0	0
CCVCVCCCVCV	0	100	0	0	0	66	0	0
CCVCVCCCVVCCV	0	100	0	0	0	2	0	0
CCVCVCCCVVCV	0	93.61702128	6.382978723	0	0	44	3	0
CCVCVCCVCC	0	0	100	0	0	0	1	0
CCVCVCCVCCCV	0	86.36363636	13.63636364	0	0	19	3	0
CCVCVCCVCCV	0	85.85746102	14.14253898	0	0	771	127	0
CCVCVCCVCCVV	0	100	0	0	0	3	0	0
CCVCVCCVCV	0	74.9477109	25.0290495	0.0232396	0	3225	1077	1
CCVCVCCVCVV	0	100	0	0	0	26	0	0
CCVCVCCVV	0	93.44262295	6.557377049	0	0	57	4	0
CCVCVCCVVCCV	0	100	0	0	0	74	0	0
CCVCVCCVVCV	0	97.65853659	2.243902439	0.097560976	0	1001	23	1
CCVCVCVCCCV	0	100	0	0	0	10	0	0
