ending	B_%PULT_Ty	C_%PULT_Ty	E_%ULT_Ty	E_%PULT_Ty	E_%APULT_Ty	G_%ULT_Ty	G_%PULT_Ty	G_%APULT_Ty	I_%PULT_Ty	N_%PULT_Ty	N_%APULT_Ty	NU_%ULT_Ty	NU_%PULT_Ty	P_%PULT_Ty	R_%PULT_Ty	S_%ULT_Ty	S_%PULT_Ty	S_%APULT_Ty	V_%PULT_Ty	V_%APULT_Ty	X_%PULT_Ty	B_nPULT_Ty	C_nPULT_Ty	E_nULT_Ty	E_nPULT_Ty	E_nAPULT_Ty	G_nULT_Ty	G_nPULT_Ty	G_nAPULT_Ty	I_nPULT_Ty	N_nPULT_Ty	N_nAPULT_Ty	NU_nULT_Ty	NU_nPULT_Ty	P_nPULT_Ty	R_nPULT_Ty	S_nULT_Ty	S_nPULT_Ty	S_nAPULT_Ty	V_nPULT_Ty	B_nAPULT_Ty	X_nPULT_Ty
rta	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	4	NA	NA	17	NA	NA	24	NA	NA	1	NA	NA	NA	NA	NA	NA	26	NA	43	NA	NA
rte	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	100	2	NA	NA	20	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	21	NA	1
rti	NA	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	82.2393822393822	17.7606177606178	NA	NA	NA	NA	33	NA	NA	25	NA	NA	1	NA	NA	NA	NA	NA	NA	57	NA	213	46	NA
rto	100	NA	NA	100	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	3	NA	NA	23	NA	NA	29	NA	NA	1	NA	NA	NA	NA	NA	NA	54	NA	29	NA	NA
rtu	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rva	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	6	NA	NA
rve	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	9	NA	NA
rvi	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	76.7567567567568	23.2432432432432	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	142	43	NA
rvo	NA	NA	NA	100	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	4	NA	NA
rza	100	NA	NA	100	NA	NA	100	NA	100	100	NA	NA	NA	NA	NA	NA	100	NA	100	NA	NA	1	NA	NA	2	NA	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	7	NA	7	NA	NA
